backgroundCompilationEnabled,codeFlushingEnabled,counterDecayEnabled,compileHugeMethodsEnabled,tieredCompilationEnabled,result
0,0,0,0,0,3678
0,0,0,0,1,3969
0,0,1,0,0,3685
0,0,1,0,1,3962
0,0,0,1,0,3683
0,0,0,1,1,3743
0,0,1,1,0,3683
0,0,1,1,1,3965
0,1,0,0,0,3679
0,1,0,0,1,3747
0,1,1,0,0,3684
0,1,1,0,1,3962
0,1,0,1,0,3683
0,1,0,1,1,3956
0,1,1,1,0,3683
0,1,1,1,1,3960
1,0,0,0,0,5344
1,0,0,0,1,3304
1,0,1,0,0,5129
1,0,1,0,1,3800
1,0,0,1,0,4469
1,0,0,1,1,3288
1,0,1,1,0,5298
1,0,1,1,1,3822
1,1,0,0,0,5499
1,1,0,0,1,3248
1,1,1,0,0,5341
1,1,1,0,1,3582
1,1,0,1,0,4956
1,1,0,1,1,3733
1,1,1,1,0,5400
1,1,1,1,1,3725
