maxInlineSize,result
5,30513
10,30369
15,30971
20,31125
25,30994
30,29935
35,30616
40,30212
45,30398
50,30538
55,30474
60,31113
65,31301
70,31784
75,31944
80,31862
85,32221
90,32429
95,31715
100,31736
105,32404
110,32869
115,32600
120,32673
125,32543
130,32909
135,33011
140,32274
145,33180
150,32398
155,31895
160,33086
165,32997
170,32623
175,32523
180,33309
185,34057
190,33672
195,33375
200,34124
205,35067
210,35002
215,36041
220,34769
225,34647
230,35402
235,35709
240,34858
245,34820
250,35287
255,35347
260,35247
265,35639
270,35652
275,35726
280,35593
285,35138
290,35485
295,35232
300,34921
305,35149
310,35380
315,35642
320,35625
325,35428
330,35538
335,35370
340,35098
345,35324
350,35457
355,35813
360,36016
365,35788
370,35805
375,36105
380,36071
385,36242
390,36137
395,35235
400,35606
405,35438
410,35612
415,36146
420,35704
425,35759
430,35159
435,35937
440,36129
445,36307
450,35830
455,35897
460,35797
465,35623
470,35763
475,35786
480,35337
485,35851
490,35883
495,35640
500,35625
505,35678
510,35629
515,35663
520,35393
525,35422
530,35899
535,35379
540,35878
545,35646
550,35578
555,35897
560,35870
565,35891
570,35610
575,35756
580,36071
585,36144
590,35531
595,35788
600,36007
605,35750
610,35744
615,35804
620,35795
625,35788
630,35768
635,35807
640,35902
645,35736
650,36042
655,36270
660,35944
665,35668
670,35998
675,35884
680,36017
685,35825
690,36119
695,36156
700,36067
705,35883
710,35956
715,36238
720,35943
725,35897
730,35978
735,36316
740,36253
745,36034
750,36554
755,36604
760,36270
765,36289
770,36264
775,36563
780,36581
785,36402
790,36668
795,36709
800,36679
805,36084
810,36340
815,36340
820,35795
825,36627
830,36264
835,36287
840,36311
845,36267
850,36327
855,36930
860,36160
865,36800
870,36860
875,36517
880,36052
885,36125
890,36387
895,36647
900,36671
905,36490
910,36537
915,36662
920,36662
925,36481
930,36932
935,36801
940,36510
945,36209
950,37197
955,36562
960,36482
965,36873
970,36834
975,36779
980,36623
985,36100
990,36418
995,36578
1000,36415
