freqInlineSize,result
5,31614
10,31131
15,30813
20,30942
25,29782
30,28457
35,29100
40,29190
45,29118
50,29626
55,29527
60,29841
65,29839
70,29885
75,28862
80,28939
85,28746
90,28938
95,28761
100,28947
105,29082
110,28450
115,28721
120,28554
125,28591
130,28604
135,29749
140,29736
145,29654
150,29735
155,30066
160,29671
165,29710
170,29662
175,29280
180,29649
185,29231
190,29642
195,29306
200,29239
205,29392
210,29321
215,29829
220,29266
225,29558
230,29501
235,29486
240,29308
245,29563
250,29556
255,30291
260,30562
265,30267
270,30585
275,30288
280,30511
285,30524
290,30494
295,30536
300,30478
305,30289
310,30268
315,30528
320,30578
325,30532
330,29954
335,30551
340,30276
345,30543
350,30546
355,30485
360,30495
365,30550
370,30536
375,30566
380,30541
385,30887
390,31105
395,31116
400,31167
405,31096
410,31107
415,31148
420,31130
425,31159
430,31140
435,31151
440,30864
445,31170
450,31148
455,31123
460,31132
465,31126
470,30934
475,31171
480,30891
485,31170
490,31150
495,31182
500,30863
505,31836
510,31813
515,31703
520,31698
525,31832
530,31753
535,31516
540,31770
545,31837
550,31512
555,31480
560,31777
565,31462
570,31711
575,31763
580,31771
585,31761
590,31720
595,30964
600,30528
605,31000
610,31000
615,30515
620,30747
625,30817
630,30796
635,30971
640,31063
645,30730
650,30531
655,30720
660,30865
665,30996
670,30489
675,30847
680,30763
685,30855
690,30941
695,30879
700,30545
705,30739
710,30988
715,30831
720,30489
725,31047
730,30986
735,30962
740,30326
745,30750
750,30717
755,30782
760,30761
765,30776
770,30794
775,30958
780,30827
785,30513
790,29976
795,30491
800,30960
805,30491
810,30470
815,30525
820,30975
825,30287
830,30801
835,30813
840,30741
845,30488
850,30606
855,30751
860,30833
865,30737
870,30799
875,30857
880,30973
885,30833
890,30762
895,30306
900,30747
905,30304
910,30782
915,30796
920,30774
925,30419
930,30722
935,30765
940,30849
945,30824
950,30804
955,30721
960,30494
965,30762
970,30783
975,31090
980,30989
985,30845
990,30752
995,30737
1000,30263
