maxInlineSize,freqInlineSize,timeinMS
10,150,29458
10,200,29092
10,250,29622
10,300,30805
10,350,30628
10,400,30847
10,450,30832
10,500,30841
10,550,31881
10,600,31601
10,650,31656
10,700,31720
10,750,31620
20,150,29330
20,200,29745
20,250,29402
20,300,30885
20,350,30926
20,400,31663
20,450,31218
20,500,31633
20,550,31926
20,600,31395
20,650,31673
20,700,31403
20,750,31492
30,150,29394
30,200,29746
30,250,29768
30,300,30946
30,350,31033
30,400,31587
30,450,31122
30,500,31129
30,550,31368
30,600,30819
30,650,31435
30,700,31104
30,750,31109
40,150,29639
40,200,29050
40,250,29605
40,300,30474
40,350,30582
40,400,31085
40,450,30463
40,500,31065
40,550,31904
40,600,31311
40,650,31119
40,700,31128
40,750,31189
50,150,30212
50,200,29677
50,250,29306
50,300,30535
50,350,30535
50,400,31115
50,450,30713
50,500,30873
50,550,31866
50,600,31168
50,650,31043
50,700,30804
50,750,30799
60,150,29937
60,200,30597
60,250,30454
60,300,31229
60,350,31215
60,400,31687
60,450,31331
60,500,31474
60,550,31908
60,600,31875
60,650,31029
60,700,31816
60,750,31777
70,150,30000
70,200,30299
70,250,31011
70,300,32062
70,350,32023
70,400,32258
70,450,32578
70,500,32593
70,550,32513
70,600,31965
70,650,32616
70,700,32498
70,750,32593
80,150,30493
80,200,30151
80,250,30786
80,300,32070
80,350,32000
80,400,32147
80,450,31893
80,500,32150
80,550,33157
80,600,32617
80,650,32356
80,700,33103
80,750,32287
90,150,31500
90,200,30790
90,250,30729
90,300,32211
90,350,32563
90,400,33038
90,450,32545
90,500,32023
90,550,33510
90,600,32999
90,650,33417
90,700,32644
90,750,32445
100,150,30736
100,200,30671
100,250,31065
100,300,32077
100,350,32299
100,400,33200
100,450,32731
100,500,32943
100,550,33104
100,600,32855
100,650,33082
100,700,32925
100,750,33110
