freqInlineSize,result
5,31795
10,31651
15,31001
20,31004
25,29226
30,29052
35,29783
40,29752
45,29588
50,29682
55,29471
60,29272
65,29904
70,29635
75,29466
80,29190
85,28617
90,29038
95,28772
100,29040
105,29041
110,28792
115,28733
120,28582
125,28620
130,28628
135,29629
140,29675
145,29379
150,29371
155,29708
160,29675
165,30015
170,29748
175,29706
180,29693
185,29234
190,28954
195,29273
200,29275
205,29410
210,29141
215,29121
220,29399
225,29737
230,29353
235,29666
240,29748
245,29587
250,29717
255,30550
260,30525
265,30300
270,30523
275,30513
280,30583
285,30293
290,30504
295,30533
300,30579
305,30513
310,30511
315,30533
320,30548
325,30513
330,30365
335,30528
340,30566
345,30534
350,30564
355,30553
360,30575
365,30015
370,30535
375,30524
380,30519
385,31211
390,31142
395,31216
400,31188
405,31174
410,31141
415,31136
420,31144
425,31184
430,31136
435,31138
440,31163
445,31146
450,31167
455,31153
460,31219
465,31169
470,31136
475,30936
480,30912
485,30893
490,31155
495,31198
500,31158
505,31781
510,31831
515,31891
520,31806
525,31577
530,31560
535,31789
540,31538
545,30984
550,31794
555,31466
560,31791
565,30947
570,31468
575,31752
580,31811
585,31837
590,31744
595,31047
600,30969
605,31041
610,30724
615,31081
620,30988
625,31021
630,30954
635,31035
640,30817
645,30995
650,30443
655,30470
660,30674
665,30922
670,30661
675,31026
680,31092
685,31034
690,31081
695,30210
700,30723
705,31035
710,30524
715,31070
720,30832
725,30722
730,31044
735,31053
740,30978
745,30695
750,31042
755,30708
760,30997
765,31013
770,31012
775,30996
780,30468
785,30973
790,30765
795,30671
800,31030
805,31033
810,30743
815,31338
820,30994
825,30761
830,31289
835,30743
840,31035
845,30518
850,30981
855,30975
860,30699
865,30665
870,31157
875,31006
880,30787
885,31004
890,31014
895,31002
900,31006
905,30949
910,30999
915,30547
920,31028
925,30800
930,30937
935,30925
940,30974
945,30726
950,31008
955,31073
960,30711
965,31065
970,30804
975,30798
980,30725
985,30939
990,31318
995,31019
1000,31079
