inlineSmallCode,result
500,29471
550,29638
600,30327
650,30099
700,30055
750,29767
800,30173
850,30199
900,30358
950,30612
1000,30561
1050,30436
1100,30454
1150,30464
1200,30182
1250,30409
1300,31035
1350,31076
1400,30884
1450,30492
1500,30510
1550,30320
1600,30501
1650,30474
1700,30529
1750,30505
1800,30485
1850,30542
1900,30525
1950,30250
2000,30234
2050,30529
2100,30520
2150,30531
2200,30556
2250,30614
2300,31334
2350,31293
2400,31265
2450,31203
2500,31303
2550,30696
2600,31267
2650,31249
2700,31127
2750,31133
2800,31120
2850,31212
2900,30989
2950,31157
3000,30967
3050,31294
3100,31258
3150,31037
3200,30957
3250,31194
3300,31230
3350,31224
3400,31198
3450,31267
3500,31216
3550,30762
3600,30995
3650,31264
3700,31011
3750,31243
3800,31203
3850,31265
3900,31255
3950,30932
4000,31275
4050,31264
4100,31246
4150,30973
4200,31226
4250,30924
4300,31233
4350,31267
4400,30983
4450,31266
4500,31201
4550,31205
4600,31316
4650,31359
4700,31643
4750,31612
4800,31596
4850,31626
4900,31342
4950,31839
5000,31830
